index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,Kaitangata,-46.2817,169.8464,43.43,96.0,47.0,4.92,NZ,1627842383.0
245,Klyuchevskiy,53.5317,119.4519,43.9,96.0,50.0,1.92,RU,1627842396.0
468,Kungurtug,50.5994,97.5228,50.49,97.0,100.0,3.47,RU,1627842424.0
464,Aksarka,66.5606,67.7975,54.95,97.0,100.0,7.45,RU,1627842186.0
294,Taunggyi,20.7833,97.0333,64.2,97.0,90.0,3.87,MM,1627842402.0
195,Raja,8.4596,25.678,69.75,97.0,100.0,4.29,SS,1627842389.0
250,Kamaishi,39.2667,141.8833,73.78,97.0,41.0,8.03,JP,1627842396.0
88,Mataura,-46.1927,168.8643,39.47,98.0,22.0,3.42,NZ,1627842374.0
276,Iwanai,42.9744,140.5089,75.2,98.0,83.0,2.59,JP,1627842400.0
531,Bedelē,8.456,36.353,55.35,98.0,97.0,3.0,ET,1627842432.0
477,Pudozh,61.8099,36.5345,58.73,98.0,97.0,6.04,RU,1627842425.0
3,Dikson,73.5069,80.5464,39.72,98.0,100.0,3.42,RU,1627842288.0
444,Ambunti,-4.2365,142.8448,72.95,99.0,39.0,1.01,PG,1627842421.0
317,Salekhard,66.53,66.6019,56.52,99.0,100.0,1.12,RU,1627842405.0
451,Salym,60.0625,71.4789,60.58,99.0,100.0,4.94,RU,1627842422.0
377,Omsukchan,62.5333,155.8,33.66,99.0,100.0,6.78,RU,1627842413.0
154,Ouadda,8.0777,22.4007,67.01,99.0,100.0,2.17,CF,1627842383.0
530,Mawlaik,23.6333,94.4167,76.24,100.0,100.0,2.01,MM,1627842432.0
296,Praia da Vitória,38.7333,-27.0667,77.76,100.0,75.0,18.9,PT,1627842403.0
439,Kunming,25.0389,102.7183,58.93,100.0,0.0,6.71,CN,1627842244.0
