index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,Kavaratti,10.5669,72.642,27.85,79.0,100.0,7.15,IN,1627492585.0
607,Maumere,-8.6199,122.2111,25.62,79.0,19.0,3.39,ID,1627492646.0
47,Konde,-4.95,39.75,23.61,79.0,14.0,6.39,TZ,1627492571.0
89,Labuhan,-6.8844,112.2051,23.83,79.0,15.0,4.31,ID,1627492577.0
531,Kroya,-7.6331,109.2461,24.38,79.0,89.0,2.29,ID,1627492636.0
136,Cherat Cantonement,33.8233,71.8915,21.96,79.0,98.0,4.9,PK,1627492584.0
493,Zhuhai,22.2769,113.5678,30.06,79.0,0.0,0.51,CN,1627492629.0
520,Teya,60.3778,92.6267,13.11,79.0,100.0,0.9,RU,1627492633.0
226,Bradford,53.7939,-1.7521,16.44,79.0,40.0,4.63,GB,1627492554.0
532,Wakimachi,34.0667,134.15,25.68,79.0,0.0,1.64,JP,1627492636.0
261,Lorengau,-2.0226,147.2712,27.65,79.0,29.0,2.72,PG,1627492356.0
457,Sola,-13.8833,167.55,26.06,79.0,47.0,9.27,VU,1627492624.0
2,Oranjestad,12.524,-70.027,28.97,79.0,40.0,6.69,AW,1627492565.0
487,Seymchan,62.8833,152.4333,6.07,79.0,96.0,3.06,RU,1627492628.0
37,Busselton,-33.65,115.3333,13.94,80.0,55.0,10.78,AU,1627492570.0
517,Lamu,-2.2717,40.902,23.12,80.0,67.0,7.65,KE,1627492632.0
615,Takahagi,36.7167,140.7167,25.16,80.0,48.0,1.94,JP,1627492647.0
26,Rio Grande,-32.035,-52.0986,7.06,80.0,95.0,10.37,BR,1627492334.0
53,Nicolás Bravo,18.45,-88.9167,23.49,80.0,40.0,2.11,MX,1627492572.0
161,Los Llanos de Aridane,28.6585,-17.9182,21.86,80.0,75.0,6.69,ES,1627492587.0
155,Kismayo,-0.3582,42.5454,24.58,80.0,92.0,8.87,SO,1627492586.0
316,Henties Bay,-22.116,14.2845,14.92,80.0,0.0,8.77,NA,1627492606.0
333,Sorong,-0.8833,131.25,27.69,80.0,96.0,1.19,ID,1627492608.0
471,Birao,10.2849,22.7882,24.68,80.0,99.0,2.13,CF,1627492626.0
415,Banda Aceh,5.5577,95.3222,27.05,81.0,99.0,6.38,ID,1627492619.0
588,Northam,51.0333,-4.2167,19.79,81.0,6.0,9.41,GB,1627492644.0
132,Chokurdakh,70.6333,147.9167,2.31,81.0,99.0,4.88,RU,1627492583.0
65,Ushuaia,-54.8,-68.3,7.79,81.0,40.0,1.54,AR,1627492297.0
173,Druzhba,52.0428,33.9453,21.7,81.0,67.0,2.37,UA,1627492588.0
433,Giohar,2.7809,45.5005,23.62,81.0,87.0,6.79,SO,1627492621.0
283,Havøysund,70.9963,24.6622,9.49,81.0,100.0,2.98,NO,1627492602.0
154,Varhaug,58.6147,5.6457,18.21,81.0,100.0,6.19,NO,1627492586.0
58,Kaitangata,-46.2817,169.8464,8.85,81.0,41.0,1.97,NZ,1627492572.0
272,Marathon,44.9,-89.7668,27.15,81.0,1.0,0.45,US,1627492600.0
270,Kanniyākumāri,8.0833,77.5667,26.93,81.0,100.0,8.81,IN,1627492600.0
51,Punta Arenas,-53.15,-70.9167,8.06,81.0,0.0,5.66,CL,1627492572.0
311,Namatanai,-3.6667,152.4333,26.12,81.0,91.0,2.15,PG,1627492605.0
392,Ternate,0.8,127.4,27.28,81.0,37.0,1.97,ID,1627492326.0
130,Beihai,21.4833,109.1,29.82,82.0,78.0,4.21,CN,1627492391.0
83,Todos Santos,23.45,-110.2167,35.0,82.0,3.0,3.52,MX,1627492577.0
79,Skjervøy,70.0311,20.9714,10.1,82.0,33.0,5.34,NO,1627492576.0
595,Pantai Remis,4.4557,100.6288,27.2,82.0,68.0,1.17,MY,1627492645.0
345,Pāliyād,22.25,71.5667,26.62,82.0,100.0,8.34,IN,1627492610.0
93,Lima,-12.0432,-77.0282,16.19,82.0,90.0,3.6,PE,1627492441.0
421,Ushibukamachi,32.1906,130.0228,26.07,82.0,0.0,1.3,JP,1627492620.0
206,Sawtell,-30.3833,153.1,16.21,82.0,88.0,1.54,AU,1627492592.0
46,Port Hardy,50.6996,-127.4199,15.1,82.0,20.0,1.54,CA,1627492571.0
197,Port Elizabeth,-33.918,25.5701,14.5,82.0,40.0,4.12,ZA,1627492591.0
297,Hong Kong,22.2855,114.1577,30.21,82.0,67.0,0.45,HK,1627492525.0
454,Lagoa,39.05,-27.9833,22.2,82.0,78.0,3.64,PT,1627492624.0
298,Geelong,-38.1471,144.3607,9.49,82.0,40.0,2.68,AU,1627492604.0
484,Praia da Vitória,38.7333,-27.0667,25.42,83.0,75.0,4.56,PT,1627492627.0
222,Tual,-5.6667,132.75,27.11,83.0,71.0,8.39,ID,1627492595.0
539,Arrondissement de Pau,43.4167,-0.5833,23.91,83.0,90.0,3.6,FR,1627492512.0
3,Vaini,-21.2,-175.2,20.09,83.0,40.0,2.57,TO,1627492565.0
72,Kouroussa,10.65,-9.8833,25.01,83.0,100.0,2.65,GN,1627492575.0
465,Talnakh,69.4865,88.3972,13.74,83.0,100.0,0.53,RU,1627492625.0
561,Oyama,36.3,139.8,27.55,83.0,41.0,1.59,JP,1627492640.0
443,Marawi,7.9986,124.2928,22.03,83.0,98.0,2.46,PH,1627492623.0
340,Mandurah,-32.55,115.7,15.14,83.0,81.0,12.2,AU,1627492609.0
118,Dingle,10.9995,122.6711,25.6,83.0,100.0,3.6,PH,1627492582.0
321,San Policarpo,12.1791,125.5072,26.86,83.0,98.0,2.5,PH,1627492607.0
129,Souillac,-20.5167,57.5167,21.31,83.0,75.0,8.23,MU,1627492583.0
365,Porbandar,21.6422,69.6093,27.85,83.0,100.0,12.05,IN,1627492612.0
393,Mossamedes,-15.1961,12.1522,19.33,83.0,3.0,3.21,AO,1627492616.0
579,Ust-Nera,64.5667,143.2,4.33,83.0,15.0,2.83,RU,1627492643.0
18,Lukovetskiy,64.2956,41.9211,18.99,83.0,52.0,3.18,RU,1627492436.0
133,Bambous Virieux,-20.3428,57.7575,21.23,83.0,75.0,8.23,MU,1627492584.0
348,Bubaque,11.2833,-15.8333,26.17,84.0,100.0,7.51,GW,1627492610.0
137,Puerto Cabezas,14.0351,-83.3888,29.98,84.0,75.0,2.06,NI,1627492584.0
291,Quatre Cocos,-20.2078,57.7625,21.16,84.0,100.0,10.78,MU,1627492603.0
7,Kawalu,-7.3817,108.2082,21.69,84.0,81.0,0.21,ID,1627492565.0
221,Hofn,64.2539,-15.2082,12.44,84.0,55.0,1.76,IS,1627492594.0
326,Nikolskoye,59.7035,30.7861,20.78,84.0,100.0,1.4,RU,1627492607.0
315,Gari,59.4307,62.3497,7.37,84.0,82.0,3.1,RU,1627492606.0
608,Hirtshals,57.5881,9.9592,19.9,84.0,61.0,4.83,DK,1627492451.0
102,Torbay,47.6666,-52.7314,24.86,84.0,75.0,7.2,CA,1627492579.0
369,Maniitsoq,65.4167,-52.9,7.91,84.0,43.0,7.81,GL,1627492613.0
516,Beşikdüzü,41.052,39.2284,25.94,84.0,12.0,5.86,TR,1627492563.0
338,Māngrol,21.1167,70.1167,27.74,84.0,100.0,11.22,IN,1627492609.0
